Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C16, C17, C18, C19, C20, C21, C22, C23, C5, C7, C8",0603,14,1uF,
"C2, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C9",0603,12,10uF,
C3,0603,1,2.2uF,
"C4, C6",0402,2,100nF,
"H1, H2, H3",HDR-TH_5P-P2.54-H-M-W10.4,3,PZ254R-11-05P,C492413
H4,HDR-TH_12P-P2.54-H-M-R2-C6-S2.54,1,PZ254R-12-12P,C492434
L1,IND-SMD_L4.0-W4.0,1,SWPA4012S1R8NT,C96867
"LED1, LED2, LED3, LED4",LED0603-R-RD_WHITE,4,0603White light_C2290,C2290
"R1, R2, R3, R4",0603,4,680,
"R10, R11, R12, R13, R14, R15",0805,6,100,
R17,R0603,1,0603WAF3001T5E,C4211
"R18, R5",0402,2,10k,
"R6, R7, R8, R9",0805,4,100k,
REF_5V1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,ADR4525BRZ-R7,C403914
"SW2, SW3, SW4, SW5",SW-SMD_2P-L3.5-W6.1-P2.54-LS9.8,4,DSIC01LS-P_C600988,C600988
U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-TL,1,ADS131E08IPAGR,C190276
"U10, U2",CONN-TH_DB125-2.54-2P-GN,2,DB125-2.54-2P-GN,C918120
U4,SOT-563-6_L1.6-W1.2-P0.50-LS1.6-BL,1,TPS61299DRLR,C41689719
U5,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS7A2050PDBVR,C2864504
"U6, U7, U8, U9",HDR-TH_14P-P2.54-V-F-2,4,PM2.54-YP1D-14A,C22399554
