Designator,Mid X,Mid Y,Rotation,Layer
C1,71.0,-42.275,270.0,top
C10,84.775,-52.975,0.0,top
C15,114.7625,-76.525,90.0,top
C16,114.7625,-39.275,90.0,top
C17,114.7625,-58.275,90.0,top
C18,114.7625,-79.575,270.0,top
C19,114.7625,-42.325,270.0,top
C2,88.0,-52.25,180.0,top
C20,114.7625,-61.325,270.0,top
C21,114.7625,-73.525,90.0,top
C22,114.7625,-36.275,90.0,top
C23,114.7625,-55.275,90.0,top
C24,40.625,-34.55,180.0,top
C25,49.175,-34.05,0.0,top
C26,52.15,-34.525,90.0,top
C27,53.9,-36.025,270.0,top
C28,60.85,-36.025,270.0,top
C29,79.5,-51.725,270.0,top
C3,83.975,-50.5,180.0,top
C30,81.0,-51.725,270.0,top
C31,77.965,-68.58,180.0,top
C32,50.8,-71.12,270.0,top
C33,47.6,-52.575,270.0,top
C4,87.23,-54.0,180.0,top
C5,84.275,-70.0,180.0,top
C6,83.98,-68.75,180.0,top
C7,100.0,-66.4,270.0,top
C8,80.225,-54.0,0.0,top
C9,82.5,-52.775,270.0,top
H1,124.25,-80.0,90.0,top
H2,124.25,-42.75,90.0,top
H3,124.25,-61.75,90.0,top
H4,47.27,-66.02,270.0,top
L1,45.05,-35.3,180.0,top
LED1,64.8,-64.25,0.0,top
LED2,64.7,-66.0,0.0,top
LED3,64.7,-67.75,0.0,top
LED4,64.7,-69.5,0.0,top
NT1,52.9,-40.05,180.0,top
R1,68.525,-64.25,0.0,top
R10,118.1,-75.3,0.0,top
R11,118.1,-38.05,0.0,top
R12,118.1,-57.05,0.0,top
R13,118.175,-77.275,0.0,top
R14,118.1125,-40.4,0.0,top
R15,118.175,-59.025,0.0,top
R17,51.9,-37.55,270.0,top
R18,57.74,-86.5,180.0,top
R2,68.425,-66.0,0.0,top
R3,68.425,-67.75,0.0,top
R4,68.425,-69.5,0.0,top
R5,73.99,-59.75,0.0,top
R6,97.75,-63.0875,270.0,top
R7,97.75,-66.5875,270.0,top
R8,94.0,-77.9125,270.0,top
R9,120.5,-93.3375,270.0,top
REF_5V1,75.75,-41.75,180.0,top
SW2,54.9,-46.8,0.0,top
SW3,43.15,-49.3,90.0,top
SW4,120.5,-46.25,90.0,top
SW5,120.25,-66.75,90.0,top
U1,84.75,-61.5,90.0,top
U10,40.035,-94.005,270.0,top
U2,125.0,-93.02,90.0,top
U4,49.4,-35.91,270.0,top
U5,57.255,-36.11,0.0,top
U6,62.23,-76.2,0.0,top
U7,62.23,-93.98,0.0,top
U8,62.23,-78.74,0.0,top
U9,62.23,-96.52,0.0,top
